x,y,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
3460.794627,1366.563835,6.49375384,6.003887067,6.410174882,6.871091295,5.891644212,6.159095388,6.02827852,6.921658184,6.966024187,6.992096427,6.650279049,7.083387848,5.958424693,6.617402978,6.637258031,7.044905117,6.11146734,6.546785411,6.756932389,6.753437919,6.582025139,6.985641818,5.723585102,7.290974778,6.423246964,6.490723535,6.359573869,6.88857246,7.288927695,6.970730078,5.501258211,6.747586527,6.156978986,6.371611847,5.710427017,7.151485464,6.697034248,6.647688374,6.12905021,7.056175284,7.125283092,6.876264612,6.391917113,7.409136444,289.8738836
3223.537296,1320.539353,6.698268054,6.685860947,6.350885717,6.309918278,6.052089169,6.304448802,6.738152495,6.987490247,6.280395839,5.780743516,6.144185634,6.630683386,6.513230111,6.624065228,6.921658184,6.762729507,6.647688374,6.49375384,6.708084084,6.620073207,6.679599186,6.486160789,6.08221891,6.90475077,6.597145702,6.985641818,6.401917197,6.97354302,7.333023014,4.890349128,6.09356977,6.257667588,5.986452005,6.866933284,6.259581464,6.996681488,7.026426809,6.666956792,7.267525428,7.333676396,7.162397497,7.003974137,6.107022888,7.07834158,289.6959613
2842.868568,848.8537021,6.899723107,5.739792912,6.704414355,6.575075841,6.683360946,6.261491684,6.350885717,6.035481433,6.171700597,6.924612396,5.713732806,6.447305863,6.327936784,6.891625897,7.113142109,6.914730893,7.049254841,6.717804695,6.104793232,6.546785411,5.796057751,6.192362489,6.959398512,7.496652438,6.603943825,6.741700695,5.707110265,7.049254841,7.010311867,5.438079309,6.388561406,6.11146734,7.175489714,6.748759547,6.582025139,7.101675972,7.122059882,7.052721049,5.84932478,6.909753282,7.38832786,6.546785411,6.894670039,6.595780514,289.6359254
2928.075091,1417.106035,6.894670039,6.450470422,5.978885765,6.459904454,5.877735782,7.139660336,6.854354502,6.782192056,7.100851909,6.975413927,6.165417854,6.805722553,6.749931194,7.073269717,NA,7.098375639,6.717804695,6.459904454,6.8134446,7.196686571,6.66949809,6.588926478,6.206575927,7.118826249,6.09356977,7.020190708,6.09356977,7.260522598,5.966146739,5.945420609,6.486160789,6.242223265,7.120444372,7.145984468,6.51174533,7.456454555,7.121252453,7.286876412,5.926926026,7.055312843,6.920671504,6.768493212,7.163172391,6.840546529,288.6042076
1801.9276,546.8403508,6.613384218,5.780743516,7.090076836,5.945420609,6.251903883,6.586171655,6.852242569,5.937536205,6.726233402,6.568077911,5.170483995,6.415096959,7.612336837,6.785587645,5.673323267,7.285506549,6.720220155,6.003887067,5.680172609,6.035481433,5.81711116,6.779921907,7.465082736,6.17586727,7.63336965,6.242223265,6.827629235,6.553933404,7.276556403,6.368187186,5.966146739,6.741700695,6.473890696,6.517671273,6.601230119,7.222566019,7.291656209,7.145984468,6.135564891,6.56667243,6.487684018,7.149131599,6.668228248,6.478509642,288.3204066
447.9087407,900.9596588,6.222576268,6.501289671,6.841615476,6.063785209,6.535241271,6.720220155,6.447305863,7.44132039,7.003974137,7.268223021,7.079184395,6.340359304,7.147559271,6.532334292,6.385194399,6.318968114,3.526360525,6.285998095,6.770789424,7.083387848,6.401917197,5.883322388,6.222576268,6.720220155,6.956545443,6.226536669,6.633318433,6.222576268,6.782192056,5.187385806,7.091742115,7.509335266,6.785587645,6.246106765,6.480044562,6.102558595,6.807934944,6.29710932,7.239214974,7.731930722,6.514712691,6.385194399,6.315358002,6.856461985,288.1155698
2072.960217,775.8181407,5.937536205,5.897153868,6.901737207,6.226536669,6.692083743,7.228388452,7.167037877,6.891625897,6.49375384,7.232010332,6.830874235,6.765038977,7.380255788,6.999422468,6.553933404,6.406879986,6.899723107,NA,6.33150185,6.467698726,5.877735782,7.295735073,7.51479976,6.800170068,7.121252453,6.304448802,6.881411304,7.598399329,7.113142109,7.050989447,6.553933404,7.232010332,7.288244401,7.163946684,6.816735881,6.81563999,7.577121931,7.199678346,6.018593214,NA,6.872128101,7.150701458,7.333676396,6.781057626,287.6647445
2193.180594,689.044665,6.202535517,6.238324625,6.970730078,6.921658184,6.49375384,6.289715571,6.944087208,6.961296046,6.82437367,6.959398512,5.627621114,6.593044534,7.380255788,6.637258031,6.871091295,6.597145702,7.139660336,6.345636361,6.914730893,6.206575927,5.170483995,7.249925537,7.216709487,6.791221463,6.961296046,6.626717749,5.966146739,7.118826249,6.978213743,6.501289671,6.675823222,6.774223886,7.195937226,7.084226422,6.079933195,5.958424693,7.300472814,6.928537818,5.733341277,NA,6.952728645,7.003065459,7.172424577,6.65544035,287.2143035
2889.19117,748.9962033,7.513163545,4.983606622,6.9117473,6.71417053,6.336825731,6.816735881,6.32256524,6.852242569,6.486160789,6.692083743,6.363028104,6.11146734,5.446737372,6.406879986,7.849323818,6.527957918,6.883462586,6.633318433,6.470799504,NA,6.811244379,6.490723535,6.498282149,7.094234846,5.966146739,6.768493212,5.765191103,7.314552832,7.545918151,6.71417053,6.336825731,6.350885717,7.489970899,6.546785411,6.754604099,7.123672785,7.239214974,6.820016365,6.202535517,6.938284484,7.996653875,6.66057515,6.739336627,6.698268054,287.1888642
2406.559829,961.8857777,6.49375384,6.126869184,6.597145702,6.232448017,6.909753282,7.163172391,6.999422468,7.06646697,6.483107351,7.387709239,6.086774727,6.765038977,7.314552832,7.295735073,7.155396302,7.070724107,7.275172319,6.442540166,5.680172609,7.074963198,6.393590754,6.72982407,7.017506143,6.393590754,5.831882477,6.633318433,6.075346031,6.818924065,6.285998095,6.459904454,6.701960366,6.588926478,7.157735484,6.637258031,6.778784898,6.719013154,6.906754779,6.953684211,5.726847748,6.033086222,6.673297968,NA,6.965080346,6.926577033,287.0298107
1667.244281,393.1042221,6.535241271,6.248042875,6.732210706,6.551080335,6.075346031,6.8134446,6.467698726,6.186208624,6.881411304,6.794586581,6.148468296,6.953684211,6.894670039,6.300785795,5.081404365,6.532334292,7.100851909,6.295266001,6.470799504,5.958424693,5.552959585,6.186208624,7.539558829,6.927557906,7.081708586,5.780743516,6.647688374,7.008505182,6.431331082,6.350885717,6.663132696,6.84694314,6.752270376,6.698268054,6.042632834,6.552507887,6.54534966,7.320526962,5.673323267,6.981005741,6.311734809,7.467942332,7.119635638,5.252273428,286.7566544
1851.886902,560.2849521,6.770789424,5.673323267,6.340359304,6.770789424,6.359573869,6.551080335,6.970730078,6.202535517,6.944087208,NA,6.345636361,6.776506992,7.643003636,6.726233402,5.996452089,7.170888479,6.692083743,6.423246964,5.424950017,6.242223265,5.579729826,6.770789424,7.679251426,6.683360946,7.380255788,6.289715571,6.756932389,7.046647278,6.90475077,6.663132696,6.896694332,6.811244379,7.058758153,6.682108597,6.793466133,7.160069208,6.986566459,7.296413269,5.768320996,6.678342115,6.52649486,7.26612878,6.925595197,5.789960171,286.4192221
1754.835007,274.9795931,7.363913501,6.50578406,7.167037877,6.867974409,5.673323267,6.49375384,6.66057515,5.627621114,5.897153868,6.532334292,5.746203191,5.877735782,7.094234846,6.970730078,5.480638923,6.852242569,6.811244379,6.415096959,5.627621114,5.97126184,6.021023349,6.794586581,7.149916836,7.387709239,6.633318433,6.304448802,6.059123196,6.906754779,6.586171655,6.894670039,6.747586527,6.630683386,6.605297921,6.059123196,6.37331979,6.834108739,6.954638865,7.297768283,6.428105273,6.925595197,6.651571874,6.799055862,6.603943825,5.003946306,286.288949
